Name                                             Stmts   Miss  Cover
--------------------------------------------------------------------
src\physical_agent\__init__.py                       1      0   100%
src\physical_agent\adapters\__init__.py              4      0   100%
src\physical_agent\adapters\base.py                 24      0   100%
src\physical_agent\adapters\mock.py                 64      5    92%
src\physical_agent\adapters\registry.py             25      1    96%
src\physical_agent\audit\__init__.py                 2      0   100%
src\physical_agent\audit\store.py                  135     22    84%
src\physical_agent\capability\__init__.py            4      0   100%
src\physical_agent\capability\registry.py           17      1    94%
src\physical_agent\capability\request.py            11      0   100%
src\physical_agent\capability\schema.py             74      3    96%
src\physical_agent\execution\__init__.py             3      0   100%
src\physical_agent\execution\coordinator.py         51      2    96%
src\physical_agent\execution\state_machine.py       33      0   100%
src\physical_agent\memory\__init__.py                2      0   100%
src\physical_agent\memory\store.py                  40      0   100%
src\physical_agent\policy\__init__.py                5      0   100%
src\physical_agent\policy\approval.py               91      7    92%
src\physical_agent\policy\engine.py                 58      1    98%
src\physical_agent\policy\kill_switch.py            33      9    73%
src\physical_agent\policy\risk.py                   43      7    84%
src\physical_agent\runtime\__init__.py               5      0   100%
src\physical_agent\runtime\base.py                  40      0   100%
src\physical_agent\runtime\deepseek_harness.py      99     54    45%
src\physical_agent\runtime\langgraph.py             33      6    82%
src\physical_agent\runtime\mock.py                  46     11    76%
src\physical_agent\safety\__init__.py                3      0   100%
src\physical_agent\safety\gateway.py               104      6    94%
src\physical_agent\safety\write_gate.py             32      4    88%
src\physical_agent\verification\__init__.py          3      0   100%
src\physical_agent\verification\engine.py           14      0   100%
src\physical_agent\verification\evidence.py         16      0   100%
--------------------------------------------------------------------
TOTAL                                             1115    139    88%
